epoch,lr,train_loss,train_acc,train_macro_f1,train_weighted_f1,val_loss,val_acc,val_macro_f1,val_weighted_f1,epoch_time_sec,stage,local_epoch,time_sec
1,0.0001,2.380805723584356,0.195943974321564,0.1904184691721401,0.1977003068056213,2.410758504295869,0.2908719346049046,0.2705607470484458,0.276127432957105,939.6043326854706,previous,,
2,0.0001,2.1139373936109096,0.307645170703239,0.2930820414743555,0.3052728913069079,2.207142466095553,0.3881471389645776,0.3567814610690671,0.3673911421577198,797.1950721740723,previous,,
3,0.0001,1.9911880363832244,0.3722206011088415,0.3537467690099528,0.3710422779489756,2.2017490767653047,0.4072207084468665,0.3893224773870228,0.3935284101178615,790.6647703647614,previous,,
4,0.0001,1.9203960740534949,0.4170995039393055,0.3951686114394851,0.4191182592322761,2.049509275966509,0.4850136239782016,0.457974726144798,0.4709250320346155,791.0575881004333,previous,,
5,0.0001,1.86840444241455,0.4435074409104172,0.4212614676717751,0.4451631558467661,1.990722819829832,0.5226158038147138,0.4935566413597649,0.5252659873202915,798.6809873580933,previous,,
6,0.0001,1.8083690675730464,0.4766267872775022,0.4516095142495789,0.4796088679876268,1.9956793776000228,0.5365122615803815,0.510789468448155,0.5352120352576909,815.4243392944336,previous,,
7,0.0001,1.764760244751867,0.5014590020426029,0.4768277690110628,0.5048726239916476,1.9150218941535224,0.5516348773841961,0.5275593671276038,0.5463464870580494,796.032589673996,previous,,
8,0.0001,1.7277739292197092,0.5236650131310184,0.4981943473415071,0.5273976169989353,1.8420210565468271,0.579291553133515,0.5489018463573215,0.5870573652010136,800.894100189209,previous,,
9,0.0001,1.6894045695571187,0.5401225561715787,0.5142030607174044,0.5438794373276115,1.880702480568223,0.5667574931880109,0.5413758857834614,0.5812069091749967,814.1034910678864,previous,,
10,0.0001,1.656539788411733,0.5588853224394514,0.5318585129499567,0.5631439669525299,1.88583251358053,0.5670299727520436,0.533834487166186,0.5781263938332892,822.6403231620789,previous,,
11,0.0001,1.6184533537877763,0.5772687481762474,0.549618041565574,0.581599336618071,1.7922558301151286,0.6107629427792916,0.5874311251346358,0.6119914454356494,801.9063091278076,previous,,
12,0.0001,1.5980328620401945,0.5863145608403851,0.559294780622545,0.5910453239533978,1.8547298067597016,0.6001362397820164,0.5789034212269561,0.610037175654681,810.0502433776855,previous,,
13,0.0001,1.564277379882207,0.6033848847388387,0.5765126085430902,0.6076783932861903,1.8559171360909776,0.6092643051771117,0.5665015197571037,0.6136374397945542,797.3048491477966,previous,,
14,0.0001,1.5439846352234088,0.6115552961774147,0.5847112363851851,0.6156866797533312,1.7180868071496325,0.6485013623978202,0.6160031136446092,0.647879386105764,812.7371428012848,previous,,
15,0.0001,1.5224186915783622,0.6252407353370295,0.5989265627331566,0.6295365799933272,1.775091503621447,0.6208446866485013,0.5862212131993905,0.6282315259282354,807.7179701328278,previous,,
16,0.0001,1.5021764047437345,0.6315436241610738,0.6042040090002878,0.6357686514540841,1.683084075912143,0.6727520435967302,0.6491520434915087,0.6779415188446223,809.4789531230927,previous,,
17,0.0001,1.4838852952303745,0.6434490808287131,0.6157782282028229,0.6481259115300312,1.6587777371627432,0.6798365122615804,0.6519325555125229,0.6810118882674256,821.8981986045837,previous,,
18,0.0001,1.4608636453543389,0.6527866939013715,0.6238975681213678,0.6574207905799754,1.7119882661575192,0.6569482288828338,0.6259777897500125,0.6661538086971435,820.9609303474426,previous,,
19,0.0001,1.446455054134261,0.6588269623577473,0.6306717515501132,0.6631480715078752,1.5940507882297523,0.7061307901907357,0.678015010259933,0.7088579033941738,829.4877665042877,previous,,
20,0.0001,1.424658301247429,0.6702363583309017,0.6430757185609063,0.6742134372225158,1.763406440152784,0.6449591280653951,0.6210255153359239,0.6523746229392304,880.1907026767731,previous,,
21,0.0001,1.4126919568437233,0.6782025094835132,0.6514497387595001,0.6822669985751358,1.5756830462318026,0.7137602179836512,0.6784134617261368,0.7175661508954188,900.8642716407776,previous,,
22,0.0001,1.3977291124987818,0.6828421359789903,0.6562332734828646,0.6863772044449,1.6296621286251889,0.688283378746594,0.6625767153395437,0.6922154913558012,904.6184356212616,previous,,
23,0.0001,1.3891844878434647,0.686723081412314,0.6591274776829877,0.6907833170800932,1.5980914425784951,0.7129427792915531,0.6735839244354366,0.7148615810178031,888.8810579776764,previous,,
24,0.0001,1.3653396654031629,0.6995622993872191,0.672834328124107,0.7032600381262081,1.5570894062681484,0.7303814713896458,0.7050348466652515,0.7332839728340471,883.2007448673248,previous,,
